Episode,Date,Stock,Buy,Sell,Profit
1,1/7/2020,FB,213.0599976,0,0
1,1/8/2020,FB,0,215.2200012,2.160003662
1,1/13/2020,FB,221.9100037,0,0
1,1/14/2020,FB,219.0599976,0,0
1,1/15/2020,FB,221.1499939,0,0
1,1/16/2020,FB,0,221.7700043,-0.13999939
1,1/17/2020,FB,222.1399994,0,0
1,1/21/2020,FB,221.4400024,0,0
1,1/22/2020,FB,221.3200073,0,0
1,1/23/2020,FB,0,219.7599945,0.699996948
1,1/27/2020,FB,214.8699951,0,0
1,1/28/2020,FB,217.7899933,0,0
1,1/30/2020,FB,209.5299988,0,0
1,2/3/2020,FB,0,204.1900024,-16.95999146
1,2/5/2020,FB,0,210.1100006,-12.02999878
1,2/6/2020,FB,0,210.8500061,-10.58999634
1,2/12/2020,FB,0,210.7599945,-10.56001282
1,2/13/2020,FB,0,213.1399994,-1.729995728
1,2/14/2020,FB,214.1799927,0,0
1,2/18/2020,FB,217.8000031,0,0
1,2/19/2020,FB,217.4900055,0,0
1,2/20/2020,FB,214.5800018,0,0
1,2/21/2020,FB,210.1799927,0,0
1,2/24/2020,FB,200.7200012,0,0
1,2/26/2020,FB,0,197.1999969,-20.58999634
1,2/27/2020,FB,0,189.75,-19.77999878
1,3/2/2020,FB,196.4400024,0,0
1,3/4/2020,FB,191.7599945,0,0
1,3/6/2020,FB,0,181.0899963,-33.08999634
1,3/9/2020,FB,169.5,0,0
1,3/11/2020,FB,170.2400055,0,0
1,3/13/2020,FB,170.2799988,0,0
1,3/19/2020,FB,153.1300049,0,0
1,3/23/2020,FB,0,148.1000061,-69.69999695
1,3/24/2020,FB,0,160.9799957,-56.51000977
1,3/26/2020,FB,163.3399963,0,0
1,3/27/2020,FB,0,156.7899933,-57.79000854
1,3/30/2020,FB,0,165.9499969,-44.22999573
1,4/1/2020,FB,0,159.6000061,-41.11999512
1,4/2/2020,FB,0,158.1900024,-38.25
1,4/3/2020,FB,0,154.1799927,-37.58000183
1,4/6/2020,FB,0,165.5500031,-3.949996948
1,4/7/2020,FB,0,168.8300018,-1.410003662
1,4/9/2020,FB,175.1900024,0,0
